Student ID,HSGA,SAAT,GAT,First Year CGPA
1,0.3,1560,80,9.69
2,8.8,1394,85,2.29
3,3.2,1256,77,3.37
4,2.5,1431,64,3.03
5,9.7,1235,65,3.71
6,4.6,1538,87,6.78
7,2.2,1220,62,8.49
8,1.5,1502,88,9.57
9,1.5,1413,81,9.1
10,9.0,1159,87,6.88
11,5.2,1509,85,1.75
12,9.0,1559,77,8.5
13,9.8,1276,82,1.52
14,8.8,1211,67,6.23
15,8.4,1509,82,7.54
16,9.2,1464,84,4.13
17,7.6,1428,74,2.34
18,5.1,1561,66,8.69
19,8.6,1332,88,6.83
20,9.3,1311,89,8.66
21,8.4,1195,87,1.0
22,1.3,1156,81,8.07
23,1.2,1172,61,5.47
24,1.2,1519,66,9.61
25,6.4,1455,90,8.27
26,3.1,1385,80,7.64
27,9.4,1466,61,2.01
28,9.1,1372,84,2.72
29,4.5,1593,68,7.06
30,6.9,1456,87,8.8
31,9.4,1146,71,3.47
32,6.5,1458,75,2.94
33,2.9,1489,78,7.14
34,0.5,1509,89,1.68
35,1.7,1563,68,8.23
36,6.4,1571,79,9.27
37,3.3,1590,88,1.49
38,8.7,1354,83,4.26
39,7.8,1290,64,8.58
40,0.4,1415,71,0.5
41,1.4,1239,61,7.88
42,3.1,1409,64,8.61
43,2.4,1267,85,3.72
44,7.4,1179,87,2.97
45,4.0,1564,81,4.19
46,6.7,1201,89,6.22
47,9.5,1148,64,5.43
48,1.2,1177,78,2.52
49,8.1,1199,88,0.62
50,4.3,1424,72,6.67
51,6.2,1157,85,7.96
52,0.9,1313,60,0.18
53,9.2,1417,67,7.24
54,6.6,1334,86,1.1
55,6.1,1495,85,6.61
56,1.4,1135,77,3.67
57,8.0,1273,82,4.3
58,7.3,1552,71,0.7
59,0.4,1383,80,4.52
60,8.9,1490,86,4.98
61,3.8,1484,71,0.75
62,5.6,1463,60,7.81
63,8.8,1299,84,2.62
64,7.0,1111,90,9.84
65,3.7,1179,84,1.5
66,2.3,1484,80,6.06
67,3.6,1275,75,7.89
68,3.4,1506,71,6.94
69,1.4,1347,71,1.37
70,7.5,1109,71,7.41
71,7.6,1341,88,8.88
72,6.4,1287,63,2.88
73,7.3,1518,71,1.33
74,5.8,1231,66,9.27
75,9.6,1455,73,6.2
76,7.3,1507,72,7.99
77,6.4,1543,87,6.16
78,8.8,1496,67,9.15
79,0.3,1432,75,3.27
80,6.8,1394,78,9.14
81,6.9,1540,75,7.55
82,1.8,1196,72,7.9
